state,district,year,JAN_TEMP,JUL_TEMP,JAN_RAIN,JUL_RAIN,JAN_HUMID,JUL_HUMID
UTTAR PRADESH,JAIPUR,2000,19.591091536326935,30.400701254747602,18.994067277410807,314.076200927455,70.81662000327188,81.13840418712637
UTTAR PRADESH,JAIPUR,2001,20.62523311417165,27.706735383235955,11.997180575717731,271.54266114088114,59.89464618417406,84.78652683949427
UTTAR PRADESH,JAIPUR,2002,20.3138137052452,28.11933616302073,19.943130102553532,207.16327199863463,68.44158257629368,76.06991218495668
UTTAR PRADESH,JAIPUR,2003,12.539401986064433,28.431708355428444,15.830701038108703,231.2077598362812,72.86432788536129,82.31528489043271
UTTAR PRADESH,JAIPUR,2004,23.25337956961784,32.431783725667344,14.663472266296429,212.5037976075933,61.00630271439483,72.74529576222945
UTTAR PRADESH,JAIPUR,2005,14.24961752200433,25.92268042207533,14.327713566698566,391.06342552750675,47.68716242001276,78.28383837605084
UTTAR PRADESH,LUCKNOW,2000,15.708479192995465,27.200824747149113,12.672847418971443,220.07246975495164,60.18378200342337,70.11056967977926
UTTAR PRADESH,LUCKNOW,2001,21.67465579336434,27.446843144002116,13.821029813351824,227.3821398137798,57.39885430038616,77.71644692842592
UTTAR PRADESH,LUCKNOW,2002,20.643692880787718,24.364281561938387,10.33850004858915,257.00158038619617,60.75539175223629,85.10593662157551
UTTAR PRADESH,LUCKNOW,2003,11.471196403187223,26.62987492193203,23.173895310594723,257.0415772596582,60.259168032726855,72.13901936663112
UTTAR PRADESH,LUCKNOW,2004,13.611437341265344,30.53355981294028,12.496078840189515,213.35231556089093,66.04100915719141,68.09985867437013
UTTAR PRADESH,LUCKNOW,2005,16.988201251370434,28.20667911126422,12.493797527792545,235.93256121675233,59.081598277880644,81.5501700584893
UTTAR PRADESH,INDORE,2000,20.48571820152183,30.446471270565077,10.514355881506624,239.7707168737067,68.39884296594605,84.45090423807656
